time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled
1010,25.400,1074.678,1000.834,1034.262,1050.635,1084.068,1184.258,1224.998,1300.768,1392.169,0.001
1015,26.800,1074.252,1000.702,1039.633,1067.050,1084.309,1150.670,1192.230,1283.171,1283.691,0.001
1020,22.000,1091.103,1001.235,1033.976,1042.194,1116.864,1258.477,1308.167,1441.799,1534.414,0.001
1025,10.000,1199.434,1002.983,1058.845,1167.444,1283.460,1417.402,1475.012,1610.251,1610.251,0.001
1030,28.200,1071.807,1000.657,1033.367,1041.767,1058.195,1150.285,1258.443,1542.802,1553.558,0.001
1035,38.800,1050.860,1000.680,1033.600,1041.912,1049.663,1075.056,1149.994,1307.636,1317.211,0.001
1040,40.200,1050.704,1000.803,1033.406,1041.281,1049.621,1074.338,1107.992,1343.154,1359.171,0.001
1045,35.200,1055.336,1000.452,1033.537,1041.682,1050.499,1099.227,1173.296,1300.414,1326.154,0.001
1050,38.000,1052.535,999.848,1033.325,1041.403,1042.584,1065.170,1083.955,1516.763,1574.336,0.001
1055,36.000,1055.551,1000.263,1032.892,1041.120,1050.046,1100.117,1183.842,1317.025,1490.902,0.001
1060,44.000,1045.564,999.585,1025.497,1033.429,1042.177,1076.450,1141.639,1215.831,1416.416,0.001
1065,44.000,1045.299,999.538,1025.582,1033.780,1050.718,1083.550,1108.107,1167.808,1258.672,0.001
1070,43.000,1046.200,1000.002,1025.304,1033.412,1049.840,1091.575,1141.513,1209.037,1242.234,0.001
1075,33.200,1061.877,1000.268,1032.679,1039.540,1066.935,1117.046,1166.781,1575.357,1625.150,0.001
1080,44.000,1044.236,1000.278,1025.552,1033.867,1042.664,1082.398,1100.273,1324.730,1333.605,0.001
1085,32.600,1062.240,1000.471,1033.285,1041.525,1050.368,1141.228,1244.841,1364.094,1375.030,0.001
1090,15.400,1127.842,1000.785,1041.793,1075.616,1166.966,1333.419,1392.305,1608.171,1608.171,0.001
1095,17.400,1114.552,1002.359,1041.200,1074.850,1157.944,1282.892,1324.067,1566.470,1566.470,0.001
1100,15.200,1133.944,1001.168,1034.274,1067.355,1208.847,1316.149,1408.290,1608.887,1608.887,0.001
1105,19.800,1110.315,1000.013,1040.922,1060.503,1158.259,1224.993,1367.076,1950.013,1950.013,0.001
1110,29.600,1060.053,999.728,1033.301,1041.694,1050.432,1084.360,1199.872,1508.629,1575.643,0.001
1115,40.200,1050.303,1000.374,1033.302,1041.379,1042.558,1066.871,1124.160,1273.965,1442.111,0.001
1120,53.600,1037.034,1000.479,1024.476,1025.840,1033.979,1050.868,1116.699,1241.864,1266.554,0.001
1125,57.600,1034.299,999.825,1024.923,1032.744,1033.726,1050.426,1089.403,1157.868,1190.718,0.001
1130,61.400,1032.536,1000.133,1024.742,1031.635,1033.563,1049.582,1062.889,1150.423,1166.759,0.001
1135,43.800,1045.679,999.917,1025.150,1033.750,1050.644,1091.425,1117.388,1166.981,1217.026,0.001
1140,54.400,1036.719,999.847,1024.699,1032.697,1033.882,1050.569,1096.731,1192.619,1382.752,0.001
1145,57.000,1034.988,999.731,1024.869,1032.658,1033.543,1042.059,1066.836,1233.939,1349.728,0.001
1150,51.200,1039.235,999.991,1025.169,1033.046,1033.936,1065.910,1099.558,1208.401,1316.285,0.001
1155,41.000,1048.262,1000.190,1025.051,1033.330,1048.323,1099.107,1149.540,1292.789,1349.605,0.001
1160,36.200,1055.136,1000.384,1024.982,1033.261,1042.010,1108.535,1191.147,1433.662,1691.929,0.001
1165,33.400,1059.934,1000.616,1025.017,1034.324,1074.528,1133.815,1200.351,1267.601,1342.043,0.001
1170,39.400,1053.102,1000.272,1025.198,1033.843,1059.017,1116.387,1158.562,1208.405,1456.158,0.001
1175,36.200,1052.419,999.952,1024.052,1032.904,1041.237,1084.006,1142.013,1567.026,1808.427,0.001
1180,30.400,1065.848,1000.486,1024.834,1034.261,1084.206,1166.531,1208.092,1339.553,1408.738,0.001
1185,33.200,1062.021,1000.876,1032.428,1040.715,1050.119,1141.650,1233.668,1554.065,1582.492,0.001
1190,17.000,1117.331,1000.477,1033.622,1051.528,1166.931,1324.776,1366.068,1483.721,1483.721,0.001
1195,8.000,1243.797,1001.308,1041.505,1232.657,1391.448,1533.879,1622.096,1625.925,1625.925,0.001
1200,31.000,1064.037,999.822,1033.488,1041.823,1066.298,1157.148,1233.275,1308.297,1358.184,0.001
1205,39.800,1050.056,1000.569,1032.939,1040.728,1041.968,1050.375,1116.135,1442.104,1480.456,0.001
1210,26.200,1085.022,999.965,1033.146,1041.531,1075.854,1207.795,1324.627,1700.530,1716.268,0.001
1215,19.400,1091.588,999.951,1033.313,1041.503,1137.953,1266.932,1324.717,1407.803,1407.803,0.001
1220,33.400,1059.837,1000.572,1032.850,1041.210,1042.910,1150.095,1258.043,1309.100,1333.738,0.001
1225,32.800,1060.903,999.937,1033.196,1041.607,1059.144,1169.607,1209.203,1300.181,1308.406,0.001
