time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled
1000,3.8,5943.103,1004.265,2279.046,6264.459,9320.845,11469.119,12285.66,12285.66,12285.66,0
1005,4.2,4017.925,1004.885,1793.455,4570.091,5143.537,7317.335,7876.482,8739.384,8739.384,0
1010,4.6,4966.721,1003.126,1959.869,5218.716,5987.286,7872.224,8940.513,10365.912,10365.912,0
1015,3.4,5313.694,1025.883,4484.077,5370.717,6789.258,8659.748,8684.907,8684.907,8684.907,0
1020,3.4,6320.923,1417.295,5527.11,6053.41,6889.825,10282.762,10840.535,10840.535,10840.535,0
1025,3.4,4694.209,1033.749,1667.976,5693.907,6113.023,7691.157,9236.575,9236.575,9236.575,0
1030,3.8,5320.475,1000.017,4016.985,4810.521,7728.039,8212.14,11020.867,11020.867,11020.867,0
1035,3.4,6403.213,1634.66,5552.727,6395.483,8935.333,9614.262,10262.974,10262.974,10262.974,0
1040,4,4229.983,1026.302,2287.36,4667.301,5471.701,7483.985,7768.902,7768.902,7768.902,0
1045,3.6,4662.505,1027.543,1685.53,5837.883,6363.593,8470.49,8780.806,8780.806,8780.806,0
1050,5.2,4160.724,1004.221,1550.956,3865.519,5770.378,7895.362,9051.973,11420.929,11420.929,0
1055,3.2,5379.651,1004.118,1701.74,5451.926,9722.938,9803.681,10157.651,10157.651,10157.651,0
1060,3.6,5259.348,1397.348,1618.007,4515.728,9394.064,10336.932,10708.622,10708.622,10708.622,0
1065,4.4,4035.292,1003.193,1510.252,4918.819,5602.849,7465.994,7572.412,7725.756,7725.756,0
1070,4.4,4613.855,1003.909,1668.38,3630.444,7045.126,8208.43,10169.96,10809.453,10809.453,0
1075,3.8,5945.677,1458.215,3664.485,5752.968,7881.558,10689.214,13578.634,13578.634,13578.634,0
1080,3.6,5916.766,1004.038,4065.456,5318.017,8642.528,9527.323,13413.214,13413.214,13413.214,0
1085,5.8,3967.218,999.249,1669.859,3640.944,5354.097,7661.275,8813.617,12825.707,12825.707,0
1090,4,4103.686,1029.528,1953.845,3615.501,5746.203,8644.906,9188.495,9188.495,9188.495,0
1095,3.4,5147.641,1028.548,2808.129,4426.528,7785.536,8630.153,9741.022,9741.022,9741.022,0
1100,3.6,5339.401,1560.838,3305.461,4901.157,7867.945,9070.446,11944.328,11944.328,11944.328,0
1105,3,5230.267,1003.845,1685.092,6205.282,7071.747,9607.276,10457.955,10457.955,10457.955,0
1110,4.6,4355.916,1520.34,1785.019,4232.459,6474.909,8050.49,8058.857,8118.093,8118.093,0
1115,3,5551.45,1668.158,1826.936,5921.758,7843.844,8311.578,12932.044,12932.044,12932.044,0
1120,3.4,5086.888,1004.027,1643.984,5511.824,6012.843,10149.248,10373.464,10373.464,10373.464,0
1125,3,5706.36,1526.442,4567.94,5704.151,8031.951,8158.739,8559.339,8559.339,8559.339,0
1130,4.6,4173.706,1021.131,1518.625,3494.518,5837.95,8519.306,8519.522,9030.099,9030.099,0
1135,3.8,5421.58,1000.05,1509.296,5368.392,8503.059,9470.735,12020.714,12020.714,12020.714,0
1140,4.8,4436.937,1004.454,3266.026,3774.908,6513.663,7346.387,7728.052,10916.719,10916.719,0
1145,4.4,5350.202,1559.65,2028.22,5043.763,6720.795,10406.685,11316.438,17593.406,17593.406,0
1150,2.8,5697.341,1037.468,1802.343,5059.668,10505.103,11242.28,11417.058,11417.058,11417.058,0
1155,3.4,5142.073,1004.011,1726.957,5219.112,8461.021,9213.434,9364.572,9364.572,9364.572,0
1160,4.2,4329.262,1023.896,1827.453,4599.638,5437.061,8101.797,8729.952,9255.702,9255.702,0
1165,4,5249.892,1006.027,3706.798,4953.129,7962.018,10952.301,11027.355,11027.355,11027.355,0
1170,4,5751.778,1005.052,3180.544,6337.813,8600.143,9629.973,10106.745,10106.745,10106.745,0
1175,4.6,4700.051,1006.025,3373.222,4325.436,6868.884,7453.089,7861.477,9866.096,9866.096,0
1180,2.8,6924.111,1534.342,5379.348,6455.575,11119.068,11235.619,13709.702,13709.702,13709.702,0
